,time,open,high,low,close,vol,symbol,weekday,minute,hour,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2022-07-11 00:00:00,1.20175,1.20181,1.20123,1.20133,744,GBPUSD,0,0,0,28,7,2022,11,-0.0002136010945206295,1.2031557922290617,1.201427207770938,42.63717866463694,13.942513119246613,1.2026033333333332,1.2026658333333335
1,2022-07-11 00:05:00,1.20132,1.20193,1.20128,1.20177,734,GBPUSD,0,5,0,28,7,2022,11,-0.00023073343447964183,1.2030975633054557,1.2013814366945441,45.79110517829982,14.46819307908744,1.2025623333333333,1.2026546666666669
2,2022-07-11 00:10:00,1.20178,1.2019,1.20117,1.20126,643,GBPUSD,0,10,0,28,7,2022,11,-0.00025140455369937335,1.2030886655181137,1.2012393344818864,42.95895957196131,15.022600284287574,1.2024993333333334,1.2026331666666665
3,2022-07-11 00:15:00,1.20126,1.20166,1.201,1.20123,828,GBPUSD,0,15,0,28,7,2022,11,-0.0002731157276221185,1.2030566423253128,1.201118357674687,42.79788348170886,15.627004701038954,1.2024323333333335,1.2026073333333334
4,2022-07-11 00:20:00,1.20124,1.20135,1.20085,1.2009,743,GBPUSD,0,20,0,28,7,2022,11,-0.0002989831233465514,1.2030572293618689,1.2009377706381312,41.04654583623671,16.269826994567772,1.2023603333333335,1.2025736666666664
5,2022-07-11 00:25:00,1.2009,1.20127,1.20081,1.20086,616,GBPUSD,0,25,0,28,7,2022,11,-0.00032605628037118457,1.2030519712552181,1.2007730287447818,40.837003987243044,16.90655700376696,1.2022799999999998,1.2025438333333334
6,2022-07-11 00:30:00,1.20086,1.20155,1.20072,1.201,675,GBPUSD,0,30,0,28,7,2022,11,-0.0003494891991407693,1.2030144390444295,1.2006625609555706,41.91070063023373,17.305060325772697,1.2022089999999999,1.2025233333333334
7,2022-07-11 00:35:00,1.201,1.2011,1.20069,1.20073,418,GBPUSD,0,35,0,28,7,2022,11,-0.0003729232305007336,1.2029741467261783,1.2005218532738213,40.44626969210861,17.70293415362524,1.2021173333333333,1.2024961666666667
8,2022-07-11 00:40:00,1.20072,1.20097,1.20061,1.20093,696,GBPUSD,0,40,0,28,7,2022,11,-0.00039108865789619357,1.2029173812359921,1.2004346187640078,41.99925391167296,18.12264014564507,1.2020416666666667,1.2024724999999998
9,2022-07-11 00:45:00,1.20096,1.20117,1.20078,1.20078,750,GBPUSD,0,45,0,28,7,2022,11,-0.0004065013569082287,1.202771800061225,1.2003831999387748,41.166368697247776,18.367074659623086,1.2019513333333334,1.2024371666666664
10,2022-07-11 00:50:00,1.20076,1.20098,1.20047,1.20076,829,GBPUSD,0,50,0,28,7,2022,11,-0.00041877332944819653,1.202601164809914,1.2003588351900858,41.054073334052156,18.741447546272667,1.2018683333333335,1.202405
11,2022-07-11 00:55:00,1.20075,1.20093,1.20034,1.20084,982,GBPUSD,0,55,0,28,7,2022,11,-0.000426202615999145,1.2025160993764172,1.2003089006235828,41.71200625868982,19.159760929750426,1.2018026666666668,1.2023668333333333
12,2022-07-11 01:00:00,1.20086,1.20095,1.20009,1.20011,878,GBPUSD,0,0,1,28,7,2022,11,-0.00044088246698620635,1.2025657239216057,1.2000962760783946,37.736060009813414,19.66387362692848,1.201714,1.2023190000000001
13,2022-07-11 01:05:00,1.2001,1.20017,1.19969,1.19978,889,GBPUSD,0,5,1,28,7,2022,11,-0.00046359738619030895,1.2025674639664024,1.1998585360335978,36.12574594731732,20.296429983381284,1.2016146666666667,1.2022658333333331
14,2022-07-11 01:10:00,1.19978,1.2001,1.19953,1.19975,385,GBPUSD,0,10,1,28,7,2022,11,-0.0004895797771477837,1.2025019582467278,1.1996750417532722,35.981347664401625,20.96113044478292,1.2015163333333334,1.2022136666666667
15,2022-07-11 01:15:00,1.19973,1.19992,1.19937,1.19987,722,GBPUSD,0,15,1,28,7,2022,11,-0.0005132177349725512,1.2024547964508718,1.199524203549128,37.02297081430892,21.654939250888088,1.2014266666666666,1.2021633333333333
16,2022-07-11 01:20:00,1.19988,1.20005,1.19932,1.19954,515,GBPUSD,0,20,1,28,7,2022,11,-0.0005382423369535537,1.2023513922845146,1.1993656077154855,35.38509700931765,22.22851283278755,1.2013286666666665,1.2021095
17,2022-07-11 01:25:00,1.19955,1.19984,1.19915,1.1993,460,GBPUSD,0,25,1,28,7,2022,11,-0.0005654265263087853,1.2022052694786258,1.1992157305213742,34.245291889523955,22.836187948341216,1.2012206666666667,1.2020445
18,2022-07-11 01:30:00,1.19932,1.19978,1.19906,1.19959,749,GBPUSD,0,30,1,28,7,2022,11,-0.0005866237610120421,1.202084541070694,1.199116458929306,36.7903832853642,23.450880487922262,1.201128,1.2019876666666667
19,2022-07-11 01:35:00,1.19959,1.1996,1.1992,1.19927,814,GBPUSD,0,35,1,28,7,2022,11,-0.0006067256733483649,1.201986183746582,1.198973816253418,35.233666511118884,24.04508327618394,1.201012,1.2019351666666667
20,2022-07-11 01:40:00,1.19926,1.19926,1.1982,1.19831,865,GBPUSD,0,40,1,28,7,2022,11,-0.0006390206721622266,1.2020644617175902,1.1985935382824098,31.14394756168278,24.883383349564642,1.2008653333333332,1.201859
21,2022-07-11 01:45:00,1.19831,1.19832,1.19787,1.19795,569,GBPUSD,0,45,1,28,7,2022,11,-0.0006815522365292544,1.2020386768890057,1.1982373231109946,29.801999959330843,25.76871779966018,1.200724,1.201773
22,2022-07-11 01:50:00,1.19794,1.19799,1.19764,1.19784,687,GBPUSD,0,50,1,28,7,2022,11,-0.0007284718973296174,1.2020493478663323,1.1978846521336677,29.401552444441705,26.675070920440557,1.200594,1.2016811666666667
23,2022-07-11 01:55:00,1.19787,1.19841,1.19782,1.1983,517,GBPUSD,0,55,1,28,7,2022,11,-0.0007666829596649627,1.2019406437400657,1.1977003562599342,33.279887842339505,27.269012846487495,1.200466,1.2016045
24,2022-07-11 02:00:00,1.19829,1.19852,1.19803,1.19806,464,GBPUSD,0,0,2,28,7,2022,11,-0.0007995141884475361,1.2018733290916868,1.1974836709083134,32.32154909643782,27.7728582369207,1.2003266666666665,1.2015238333333333
25,2022-07-11 02:05:00,1.19806,1.19851,1.19805,1.19839,354,GBPUSD,0,5,2,28,7,2022,11,-0.0008201651626946302,1.201747873626484,1.1973621263735164,34.984599523074436,28.259908781006132,1.2002113333333333,1.2014661666666666
26,2022-07-11 02:10:00,1.19843,1.19882,1.19835,1.19845,392,GBPUSD,0,10,2,28,7,2022,11,-0.0008292726439100481,1.2015623819774246,1.1972926180225756,35.46224252442252,28.530278145653824,1.2000876666666669,1.2014063333333334
27,2022-07-11 02:15:00,1.19846,1.19874,1.19825,1.19859,304,GBPUSD,0,15,2,28,7,2022,11,-0.0008265437597793904,1.20139414895894,1.19724685104106,36.5867624248486,28.820725294169584,1.1999653333333333,1.2013366666666667
28,2022-07-11 02:20:00,1.1986,1.19906,1.19841,1.19898,340,GBPUSD,0,20,2,28,7,2022,11,-0.0008084330411303625,1.2011566586550884,1.197289341344912,39.61866880147555,28.900244916809303,1.1998716666666667,1.201276
29,2022-07-11 02:25:00,1.19898,1.19935,1.19885,1.19935,301,GBPUSD,0,25,2,28,7,2022,11,-0.0007738849640659314,1.2009432973935878,1.197359702606412,42.32501721773527,28.8049541187548,1.199794,1.2012223333333334
30,2022-07-11 02:30:00,1.19933,1.1997,1.19904,1.19954,577,GBPUSD,0,30,2,28,7,2022,11,-0.000726050157073736,1.2007281681126052,1.197452831887395,43.66631232068394,28.51689856594427,1.1997343333333332,1.2011688333333335
31,2022-07-11 02:35:00,1.19952,1.19953,1.199,1.19937,397,GBPUSD,0,35,2,28,7,2022,11,-0.0006734525003347379,1.2004422327620425,1.1975917672379575,42.74617488367679,28.25313079833312,1.1996543333333334,1.2011083333333332
32,2022-07-11 02:40:00,1.19938,1.19938,1.1984,1.19863,355,GBPUSD,0,40,2,28,7,2022,11,-0.000630898171058459,1.2002802572105098,1.19760574278949,39.041588555341285,28.204142830004876,1.1995666666666667,1.201033
33,2022-07-11 02:45:00,1.19864,1.19872,1.19829,1.19846,294,GBPUSD,0,45,2,28,7,2022,11,-0.0005981438792854916,1.200169880913926,1.1975841190860739,38.25371497506462,28.192757956641806,1.1994743333333333,1.2009533333333333
34,2022-07-11 02:50:00,1.19845,1.19877,1.19845,1.19867,221,GBPUSD,0,50,2,28,7,2022,11,-0.0005685353770165472,1.200050939654235,1.197595060345765,39.80601541360888,28.152109682182303,1.1994,1.2008801666666669
