,time,open,high,low,close,volume,weekday,symbol,minute,hour,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2024-01-29 00:00,1.26962,1.26977,1.26953,1.26954,0.0,0,GBPUSD,0,0,5,1,2024,29,-0.0001825811213129899,1.270116553676097,1.2689704463239029,43.90075708080294,11.027439933557497,1.269707,1.2700478333333334
1,2024-01-29 00:05,1.26953,1.26959,1.26948,1.26952,0.0,0,GBPUSD,5,0,5,1,2024,29,-0.00017057644096315605,1.270066404463019,1.268979595536981,43.70232139007439,10.702557583614137,1.2696883333333333,1.2700308333333334
2,2024-01-29 00:10,1.26952,1.26961,1.26941,1.2695,0.0,0,GBPUSD,10,0,5,1,2024,29,-0.00015952630519826185,1.2700166084827869,1.2689893915172128,43.498922054896404,10.459045272057892,1.2696693333333333,1.270014
3,2024-01-29 00:15,1.26949,1.2697,1.26945,1.26961,0.0,0,GBPUSD,15,0,5,1,2024,29,-0.00014753514738948754,1.2699703068950523,1.2690066931049477,44.9565170732265,10.12904299340158,1.2696556666666665,1.2699986666666665
4,2024-01-29 00:20,1.26961,1.26971,1.26955,1.26958,0.0,0,GBPUSD,20,0,5,1,2024,29,-0.00013572514153554268,1.2699531053099062,1.2690098946900936,44.63167286097109,9.799198324513219,1.2696310000000002,1.2699861666666665
5,2024-01-29 00:25,1.26956,1.26959,1.26941,1.26949,0.0,0,GBPUSD,25,0,5,1,2024,29,-0.00012577433062328997,1.2699281426919955,1.2690118573080047,43.652771771059925,9.630657610324125,1.2696056666666666,1.2699751666666665
6,2024-01-29 00:30,1.26949,1.26951,1.26928,1.26938,0.0,0,GBPUSD,30,0,5,1,2024,29,-0.00011897878564678561,1.2698561011499776,1.2690318988500224,42.47489094583235,9.6074017408314,1.269593,1.2699630000000002
7,2024-01-29 00:35,1.26938,1.2694,1.26921,1.26938,0.0,0,GBPUSD,35,0,5,1,2024,29,-0.00011424595720856663,1.2697890331648762,1.2690529668351236,42.47489094583235,9.656739828123934,1.2695786666666666,1.2699488333333333
8,2024-01-29 00:40,1.26936,1.26951,1.26932,1.26937,0.0,0,GBPUSD,40,0,5,1,2024,29,-0.00011095325673588377,1.2697836319853932,1.2690753680146063,42.363682681667676,9.56943429451268,1.2695623333333332,1.2699305
9,2024-01-29 00:45,1.26938,1.26959,1.26935,1.26954,0.0,0,GBPUSD,45,0,5,1,2024,29,-0.00010577067374395795,1.2697725689218036,1.2691304310781963,44.900697862762,9.386949453742439,1.2695389999999998,1.2699103333333333
10,2024-01-29 00:50,1.26954,1.26963,1.26914,1.26914,0.0,0,GBPUSD,50,0,5,1,2024,29,-0.00010581592218739383,1.2697527413488319,1.269160258651168,40.555487602399054,9.432054291331742,1.2695126666666667,1.2698868333333333
11,2024-01-29 00:55,1.26916,1.26969,1.26911,1.26965,0.0,0,GBPUSD,55,0,5,1,2024,29,-0.00010075757406866833,1.2697710440755174,1.2691789559244828,47.28419976277193,9.40682189302248,1.2695033333333332,1.2698734999999999
12,2024-01-29 01:00,1.26965,1.2699,1.26958,1.26986,0.0,0,GBPUSD,0,1,5,1,2024,29,-8.918548322183815e-05,1.2698295401441568,1.269180459855843,49.70903655295494,9.158458038222621,1.269502,1.2698658333333335
13,2024-01-29 01:05,1.26987,1.27033,1.26985,1.2702,0.0,0,GBPUSD,5,1,5,1,2024,29,-6.850955956827106e-05,1.2699871021515037,1.2690878978484963,53.306381767790114,9.161979093931379,1.269512,1.2698621666666667
14,2024-01-29 01:10,1.27019,1.2705,1.27018,1.27047,0.0,0,GBPUSD,10,1,5,1,2024,29,-3.874755651320469e-05,1.270183638477878,1.269022361522122,55.897929677611465,9.293893613910177,1.269537,1.2698573333333334
15,2024-01-29 01:15,1.27049,1.27049,1.26992,1.26992,0.0,0,GBPUSD,15,1,5,1,2024,29,-1.3537363551232287e-05,1.270217468334232,1.269022531665768,50.04486385551047,9.192921987638998,1.2695436666666666,1.2698438333333333
16,2024-01-29 01:20,1.26994,1.27013,1.26989,1.27008,0.0,0,GBPUSD,20,1,5,1,2024,29,1.0081843997261222e-05,1.2702774263950611,1.2690195736049388,51.57093342910835,9.069879512422538,1.2695496666666666,1.269832
17,2024-01-29 01:25,1.27008,1.27035,1.27005,1.27016,0.0,0,GBPUSD,25,1,5,1,2024,29,3.271906953706128e-05,1.2703459384537237,1.2690160615462764,52.32426274009336,9.111618928274964,1.2695603333333334,1.269824
18,2024-01-29 01:30,1.27019,1.27054,1.27018,1.27036,0.0,0,GBPUSD,30,1,5,1,2024,29,5.6670436821851766e-05,1.2704480355334744,1.268988964466526,54.168048197036946,9.288789330381148,1.269599,1.2698208333333334
