,time,open,high,low,close,volume,weekday,symbol,minute,hour,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2022-08-22 00:00,1.18183,1.18191,1.18133,1.18162,0.0,0,GBPUSD,0,0,34,8,2022,22,-0.0001980714328385073,1.1828297800630434,1.1810582199369568,46.01802895892351,15.279878769557076,1.1821403333333331,1.1822123333333334
1,2022-08-22 00:05,1.18161,1.18171,1.1813,1.18139,0.0,0,GBPUSD,5,0,34,8,2022,22,-0.00020409876147553375,1.1827606396969501,1.1810133603030502,44.403339675365146,15.107891773538714,1.1820973333333333,1.1822124999999999
2,2022-08-22 00:10,1.1814,1.18169,1.18139,1.1815,0.0,0,GBPUSD,10,0,34,8,2022,22,-0.0002081067204275022,1.1825943899997209,1.1810486100002793,45.35202703342032,14.941637677387632,1.182058,1.1822096666666666
3,2022-08-22 00:15,1.18155,1.182,1.18149,1.18171,0.0,0,GBPUSD,15,0,34,8,2022,22,-0.00020681412908955552,1.182526362547295,1.181054637452705,47.133601582593144,14.94861751337931,1.182029,1.1822091666666668
4,2022-08-22 00:20,1.18169,1.1818,1.1813,1.18135,0.0,0,GBPUSD,20,0,34,8,2022,22,-0.00020753923380162147,1.1824012049993438,1.181060795000656,44.55753231785378,14.824549311802016,1.181988,1.1822030000000001
5,2022-08-22 00:25,1.18135,1.18138,1.18083,1.1809,0.0,0,GBPUSD,25,0,34,8,2022,22,-0.00021619744340615034,1.1823102073072276,1.1809897926927722,41.61633595504772,14.409365663037162,1.1819276666666667,1.1821899999999999
6,2022-08-22 00:30,1.1809,1.18142,1.1808,1.1813,0.0,0,GBPUSD,30,0,34,8,2022,22,-0.00022249956772546798,1.182252101815252,1.180967898184748,44.95731124977226,14.03071175062435,1.181901,1.1821848333333334
7,2022-08-22 00:35,1.1813,1.1817,1.1813,1.18147,0.0,0,GBPUSD,35,0,34,8,2022,22,-0.00022377520342824726,1.182172742795167,1.1809812572048333,46.308146850550976,13.821716785838008,1.1818826666666666,1.1821814999999998
8,2022-08-22 00:40,1.18147,1.18184,1.18139,1.1814,0.0,0,GBPUSD,40,0,34,8,2022,22,-0.0002224402426771841,1.18206269169843,1.1810123083015698,45.829057891414664,13.696210226649775,1.1818453333333332,1.1821685
9,2022-08-22 00:45,1.18138,1.18161,1.18128,1.18128,0.0,0,GBPUSD,45,0,34,8,2022,22,-0.0002209465350994167,1.1819547660094865,1.1810362339905136,45.00338055939176,13.502094109789455,1.1817959999999998,1.1821523333333335
10,2022-08-22 00:50,1.18127,1.18156,1.18112,1.18139,0.0,0,GBPUSD,50,0,34,8,2022,22,-0.00021717306310425417,1.1818896238968872,1.1810503761031124,45.92719140369225,13.20884121449715,1.1817523333333333,1.1821305
11,2022-08-22 00:55,1.18139,1.18147,1.18049,1.18071,0.0,0,GBPUSD,55,0,34,8,2022,22,-0.000222522512084607,1.1819492270068774,1.1808937729931224,41.472230110616096,12.969829526684798,1.1816916666666666,1.1820929999999998
12,2022-08-22 01:00,1.18069,1.18142,1.18058,1.18135,0.0,0,GBPUSD,0,1,34,8,2022,22,-0.00022259160420934928,1.1819404285421433,1.180886571457857,46.52276429997974,12.73878489513286,1.181643,1.1820659999999998
13,2022-08-22 01:05,1.18134,1.18156,1.18098,1.18103,0.0,0,GBPUSD,5,1,34,8,2022,22,-0.00022394553084495363,1.1819496983343434,1.1808413016656567,44.53497734593867,12.432749677923267,1.1815996666666666,1.1820353333333335
14,2022-08-22 01:10,1.18102,1.18145,1.18081,1.18089,0.0,0,GBPUSD,10,1,34,8,2022,22,-0.00022775699285839597,1.1819540384092275,1.1807699615907725,43.690109520042284,12.22776409364878,1.1815446666666667,1.1820058333333334
15,2022-08-22 01:15,1.18087,1.18132,1.18058,1.18069,0.0,0,GBPUSD,15,1,34,8,2022,22,-0.0002355807662330628,1.1819524294271868,1.1806705705728133,42.498627061289625,12.146979345173298,1.1814836666666666,1.1819696666666666
16,2022-08-22 01:20,1.18071,1.18128,1.1807,1.18103,0.0,0,GBPUSD,20,1,34,8,2022,22,-0.0002395478058652372,1.1819157928130921,1.180647207186908,45.13016914231016,12.068887421646998,1.181448,1.1819385
