,time,open,high,low,close,vol,weekday,symbol,minute,hour,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2024-10-21 00:00:00,1.30516,1.30527,1.30484,1.30486,687,0,GBPUSD,0,0,43,10,2024,21,9.626906282566252e-05,1.3054810312162508,1.304730968783749,50.92796253427631,10.245225620188707,1.3049763333333333,1.3047216666666666
1,2024-10-21 00:05:00,1.30487,1.305,1.30466,1.30468,333,0,GBPUSD,5,0,43,10,2024,21,7.897705675915933e-05,1.3054949908811073,1.3046630091188924,48.9639535890142,9.998877242594812,1.3049913333333334,1.3047290000000002
2,2024-10-21 00:10:00,1.30468,1.30469,1.30436,1.30443,568,0,GBPUSD,10,0,43,10,2024,21,5.63349886615982e-05,1.3055499810611275,1.3045380189388727,46.39335816566259,9.812245235967616,1.3050216666666665,1.3047321666666667
3,2024-10-21 00:15:00,1.30443,1.30455,1.30437,1.30444,537,0,GBPUSD,15,0,43,10,2024,21,3.155768527976739e-05,1.3055916356355166,1.3044463643644832,46.509560984392515,9.631834296227995,1.3050326666666665,1.3047350000000002
4,2024-10-21 00:20:00,1.30445,1.30446,1.30427,1.30436,427,0,GBPUSD,20,0,43,10,2024,21,5.392645349402114e-06,1.3056341237806868,1.3043468762193131,45.689905100516086,9.54175361132001,1.3050366666666666,1.304737
5,2024-10-21 00:25:00,1.30435,1.30458,1.30435,1.30458,354,0,GBPUSD,25,0,43,10,2024,21,-1.677290575543847e-05,1.3056353238991873,1.3042986761008126,48.28277363048255,9.33439208052057,1.3050456666666668,1.3047398333333333
6,2024-10-21 00:30:00,1.3046,1.3048,1.3046,1.30469,498,0,GBPUSD,30,0,43,10,2024,21,-3.347648533160509e-05,1.3056150933460509,1.3042709066539495,49.52910689367861,9.151987821932892,1.305014,1.3047465
7,2024-10-21 00:35:00,1.30469,1.3047,1.30444,1.30447,556,0,GBPUSD,35,0,43,10,2024,21,-4.931464955514829e-05,1.3056041186133809,1.3042128813866192,47.17686855782198,8.893531887524533,1.3049823333333335,1.304748
8,2024-10-21 00:40:00,1.30445,1.30459,1.30437,1.30444,616,0,GBPUSD,40,0,43,10,2024,21,-6.414635987867579e-05,1.305575763810321,1.304161236189679,46.86291029795579,8.717567432710794,1.3049570000000001,1.3047503333333332
9,2024-10-21 00:45:00,1.30442,1.3045,1.30435,1.30446,656,0,GBPUSD,45,0,43,10,2024,21,-7.710445078368765e-05,1.3055068311297982,1.3041371688702021,47.10567407592892,8.568575078926187,1.3049306666666667,1.3047548333333334
10,2024-10-21 00:50:00,1.30448,1.3045,1.30427,1.3045,299,0,GBPUSD,50,0,43,10,2024,21,-8.73949955196669e-05,1.3053942420285198,1.30415075797148,47.60096759225545,8.50927033786442,1.3049056666666667,1.3047590000000002
11,2024-10-21 00:55:00,1.30449,1.3046,1.30427,1.30428,397,0,GBPUSD,55,0,43,10,2024,21,-9.878490727344914e-05,1.305306732321737,1.3041282676782633,45.19321036358534,8.337564226974239,1.3048743333333335,1.3047596666666665
12,2024-10-21 01:00:00,1.30426,1.30444,1.30418,1.30442,421,0,GBPUSD,0,1,43,10,2024,21,-0.00010780803396124921,1.305228022009813,1.3041259779901873,46.95938670662969,8.265288941464913,1.3048506666666666,1.3047623333333334
13,2024-10-21 01:05:00,1.30443,1.3046,1.30436,1.30441,457,0,GBPUSD,5,1,43,10,2024,21,-0.00011478852625373785,1.3051809574950306,1.3041100425049692,46.847832891733766,8.014687785683668,1.304833,1.3047616666666666
14,2024-10-21 01:10:00,1.30441,1.30457,1.30431,1.30443,536,0,GBPUSD,10,1,43,10,2024,21,-0.00011954209134925481,1.3050995970335928,1.3041204029664073,47.107793144559594,7.824706938594423,1.3048163333333336,1.3047583333333332
15,2024-10-21 01:15:00,1.30445,1.30456,1.30424,1.30455,191,0,GBPUSD,15,1,43,10,2024,21,-0.0001204636813615767,1.3050551889084325,1.3041258110915679,48.66614095619767,7.7130711904642,1.3047996666666668,1.3047578333333334
16,2024-10-21 01:20:00,1.30457,1.30469,1.30449,1.30457,210,0,GBPUSD,20,1,43,10,2024,21,-0.00011834150294201873,1.3050192616494818,1.3041307383505183,48.9255876213812,7.463612355676434,1.3047796666666664,1.3047561666666667
17,2024-10-21 01:25:00,1.30458,1.30482,1.30439,1.30477,112,0,GBPUSD,25,1,43,10,2024,21,-0.0001109621901222795,1.3050080064568648,1.3041349935431352,51.46327380787961,7.3361126320373655,1.3047666666666666,1.3047558333333333
18,2024-10-21 01:30:00,1.30479,1.30529,1.30469,1.30515,515,0,GBPUSD,30,1,43,10,2024,21,-9.435905974062957e-05,1.3050656421198121,1.3040993578801878,55.78159070898246,7.596354217635643,1.3047636666666667,1.3047601666666666
19,2024-10-21 01:35:00,1.30512,1.30512,1.30478,1.30494,325,0,GBPUSD,35,1,43,10,2024,21,-7.5980346702563e-05,1.3050069441078889,1.3041360558921111,53.08169039273461,7.847921083713976,1.3047486666666666,1.3047628333333334
20,2024-10-21 01:40:00,1.30495,1.30513,1.30493,1.30508,323,0,GBPUSD,40,1,43,10,2024,21,-5.504538254810565e-05,1.3050579111711147,1.3041070888288853,54.59724314225382,8.0986351383424,1.304735,1.3047658333333334
21,2024-10-21 01:45:00,1.30508,1.30524,1.30479,1.30479,156,0,GBPUSD,45,1,43,10,2024,21,-3.810697619643744e-05,1.3050706505683143,1.3041053494316859,51.062757795454615,8.203544513903491,1.3047153333333332,1.3047658333333334
22,2024-10-21 01:50:00,1.30482,1.30497,1.30475,1.30487,142,0,GBPUSD,50,1,43,10,2024,21,-2.3198267316447383e-05,1.3051023413370266,1.3041176586629735,51.95044525625896,8.266379478725277,1.3047033333333333,1.3047659999999999
23,2024-10-21 01:55:00,1.30489,1.30489,1.30444,1.30463,259,0,GBPUSD,55,1,43,10,2024,21,-1.411945893012742e-05,1.305105318888213,1.3041336811117872,49.181786656183064,8.04988827821454,1.3046896666666667,1.3047653333333333
24,2024-10-21 02:00:00,1.30464,1.30487,1.30458,1.30478,379,0,GBPUSD,0,2,43,10,2024,21,-6.7453018708176534e-06,1.3051152730677147,1.3041657269322855,50.87452627145771,7.840613451054162,1.3046776666666666,1.3047721666666667
25,2024-10-21 02:05:00,1.30478,1.30488,1.30469,1.30472,227,0,GBPUSD,5,2,43,10,2024,21,-1.7680437868278683e-06,1.3051226453988383,1.304172354601162,50.18283985240669,7.646731828942737,1.3046703333333334,1.3047756666666666
26,2024-10-21 02:10:00,1.30472,1.30487,1.30449,1.3048,330,0,GBPUSD,10,2,43,10,2024,21,2.726351367548805e-06,1.3051327411500897,1.3041732588499104,51.099864329252554,7.492188543358721,1.3046676666666666,1.3047811666666667
27,2024-10-21 02:15:00,1.30479,1.3049,1.30475,1.30489,425,0,GBPUSD,15,2,43,10,2024,21,8.112177301362397e-06,1.3051567726854583,1.3041912273145415,52.125474277915174,7.316880503990443,1.3046693333333332,1.3047888333333333
28,2024-10-21 02:20:00,1.30488,1.30519,1.30487,1.30507,511,0,GBPUSD,20,2,43,10,2024,21,1.662770646150575e-05,1.3052058777441846,1.3042051222558155,54.11652232615085,7.2389798629424735,1.304674,1.3047993333333332
29,2024-10-21 02:25:00,1.30508,1.30521,1.30503,1.30519,356,0,GBPUSD,25,2,43,10,2024,21,2.8535106869720525e-05,1.3052725647363932,1.3042114352636065,55.39585780907796,7.1797585204770655,1.304675,1.3048153333333334
