,time,open,high,low,close,vol,symbol,weekday,minute,hour,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2022-10-10 00:00:00,1.10721,1.10757,1.10678,1.10729,4190,GBPUSD,0,0,0,41,10,2022,10,-0.0003230006916509665,1.107691505627412,1.106276494372588,47.09844515197843,24.107377913863022,1.1074173333333335,1.1076626666666667
1,2022-10-10 00:05:00,1.1073,1.1074,1.10675,1.10696,3533,GBPUSD,0,5,0,41,10,2022,10,-0.0003062695016267468,1.1076755953617778,1.1062714046382223,45.665088590639,24.13574103212151,1.1073533333333334,1.1076648333333334
2,2022-10-10 00:10:00,1.10697,1.10712,1.10642,1.10679,3866,GBPUSD,0,10,0,41,10,2022,10,-0.0002927326452959748,1.10765466469278,1.10632633530722,44.9362972716173,24.26891555081739,1.1072836666666666,1.1076666666666666
3,2022-10-10 00:15:00,1.1068,1.1075,1.10673,1.1068,1699,GBPUSD,0,15,0,41,10,2022,10,-0.00028108081874525075,1.1076411585367947,1.1063648414632057,44.989721353413216,24.198685034217355,1.107214333333333,1.1076745000000001
4,2022-10-10 00:20:00,1.1068,1.10725,1.10674,1.10679,2391,GBPUSD,0,20,0,41,10,2022,10,-0.0002707402044599148,1.10764068219138,1.1063673178086202,44.944611383114065,24.130795534837326,1.1071446666666667,1.1076843333333335
5,2022-10-10 00:25:00,1.10678,1.10679,1.10602,1.10648,2765,GBPUSD,0,25,0,41,10,2022,10,-0.00026609230196277423,1.1075175560201722,1.1063644439798277,43.5444534283926,24.2809120397791,1.107065,1.1076986666666666
6,2022-10-10 00:30:00,1.10649,1.10657,1.10575,1.10638,2152,GBPUSD,0,30,0,41,10,2022,10,-0.00026624509507188555,1.1074264848178454,1.1063355151821546,43.096428431544744,24.506291538173393,1.1070606666666667,1.107711
7,2022-10-10 00:35:00,1.10639,1.10763,1.10636,1.10761,1638,GBPUSD,0,35,0,41,10,2022,10,-0.0002491681034633093,1.1075506596260463,1.1062793403739535,49.68371206769007,24.176312316019317,1.1070323333333334,1.1077373333333334
8,2022-10-10 00:40:00,1.10762,1.10892,1.10751,1.10845,2286,GBPUSD,0,40,0,41,10,2022,10,-0.000208217406797568,1.1079019407356174,1.1060470592643825,53.48764295354958,23.40173860770526,1.10705,1.1077636666666666
9,2022-10-10 00:45:00,1.10844,1.10888,1.10826,1.10887,2512,GBPUSD,0,45,0,41,10,2022,10,-0.0001472744132105547,1.1083157177996634,1.1058032822003363,55.238000468147874,22.652984023001668,1.1070803333333332,1.1077985000000001
10,2022-10-10 00:50:00,1.10887,1.10957,1.10867,1.10922,1999,GBPUSD,0,50,0,41,10,2022,10,-7.107565389352864e-05,1.1087511866907105,1.1055808133092893,56.644515788027554,22.16462544268023,1.1071343333333334,1.1078316666666665
11,2022-10-10 00:55:00,1.10921,1.10924,1.10862,1.10874,1597,GBPUSD,0,55,0,41,10,2022,10,3.194535088145077e-06,1.1089767786153883,1.1055072213846113,54.227118843661124,21.672646469101693,1.1071866666666668,1.1078448333333333
