,time,open,high,low,close,vol,symbol,weekday,minute,hour,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2022-04-11 00:00:00,1.30294,1.30315,1.30283,1.30294,330,GBPUSD,0,0,0,15,4,2022,11,1.6360641702953337e-05,1.3040595254494403,1.3029654745505599,46.16111368810002,7.8631020851204685,1.3034393333333334,1.3033528333333335
1,2022-04-11 00:05:00,1.30295,1.30295,1.3025,1.3025,158,GBPUSD,0,5,0,15,4,2022,11,-1.3875024150784515e-05,1.3041490541460539,1.3027519458539458,41.9746427851117,8.513289592474564,1.3034253333333334,1.303336
2,2022-04-11 00:10:00,1.3025,1.30279,1.30249,1.30277,209,GBPUSD,0,10,0,15,4,2022,11,-4.2445879594717765e-05,1.304139665419331,1.3026583345806695,45.133385867356445,9.148677831013604,1.3034193333333333,1.3033223333333335
3,2022-04-11 00:15:00,1.30277,1.30304,1.30263,1.3027,333,GBPUSD,0,15,0,15,4,2022,11,-6.949559904433294e-05,1.3041300217393446,1.3025629782606554,44.483918919449465,9.475709325865724,1.3034113333333333,1.3033053333333335
4,2022-04-11 00:20:00,1.3027,1.3027,1.30231,1.30244,480,GBPUSD,0,20,0,15,4,2022,11,-9.816366255134441e-05,1.3041474910783233,1.302420508921677,42.15320838390735,10.009028015316234,1.3034003333333333,1.3032873333333332
5,2022-04-11 00:25:00,1.30244,1.30263,1.30239,1.30239,341,GBPUSD,0,25,0,15,4,2022,11,-0.00012691723145451445,1.3041501952258185,1.3022898047741815,41.718365371813135,10.524569415118396,1.30339,1.3032670000000002
6,2022-04-11 00:30:00,1.3024,1.30256,1.30215,1.3023,390,GBPUSD,0,30,0,15,4,2022,11,-0.00015536371128121052,1.30415953739831,1.30215546260169,40.9321133237954,11.185044287725963,1.3033413333333332,1.303247
7,2022-04-11 00:35:00,1.3023,1.30244,1.30229,1.30241,366,GBPUSD,0,35,0,15,4,2022,11,-0.0001800174110662502,1.3040849624872417,1.302086037512758,42.30688917759803,11.823503331246613,1.303295,1.3032306666666666
8,2022-04-11 00:40:00,1.3024,1.30259,1.30235,1.30248,362,GBPUSD,0,40,0,15,4,2022,11,-0.00019947437690802266,1.304045912959344,1.3020210870406559,43.177510563520975,12.256634033719932,1.303259,1.3032121666666667
9,2022-04-11 00:45:00,1.30248,1.30272,1.30248,1.30261,383,GBPUSD,0,45,0,15,4,2022,11,-0.00021212544776257812,1.3039159943252514,1.3020240056747485,44.77847734479931,12.521279689115818,1.303221,1.3031973333333333
10,2022-04-11 00:50:00,1.30261,1.30263,1.30215,1.30242,447,GBPUSD,0,50,0,15,4,2022,11,-0.00022239538767949204,1.3038343831515011,1.3019856168484993,42.94891276423648,13.005368508644906,1.3031756666666667,1.3031819999999998
11,2022-04-11 00:55:00,1.3024,1.30252,1.30201,1.30204,331,GBPUSD,0,55,0,15,4,2022,11,-0.00023619030762227973,1.303782980616652,1.301885019383348,39.60125804870372,13.558071146477765,1.303119,1.3031608333333333
12,2022-04-11 01:00:00,1.30204,1.3024,1.30204,1.30231,179,GBPUSD,0,0,1,15,4,2022,11,-0.00024662544646142983,1.303671112141614,1.3018668878583861,42.874099498143394,14.092350363049528,1.3030693333333334,1.3031448333333333
13,2022-04-11 01:05:00,1.30234,1.30272,1.30234,1.30268,298,GBPUSD,0,5,1,15,4,2022,11,-0.00024794246919067,1.3035646383669468,1.3018923616330536,46.94930373252969,14.278237184701045,1.3030336666666666,1.3031338333333333
14,2022-04-11 01:10:00,1.30268,1.3027,1.30259,1.30267,372,GBPUSD,0,10,1,15,4,2022,11,-0.00024306982600029453,1.3034317037257082,1.3019392962742917,46.85584892159109,14.457927778964184,1.3029996666666668,1.3031236666666666
15,2022-04-11 01:15:00,1.30267,1.30287,1.30262,1.30282,194,GBPUSD,0,15,1,15,4,2022,11,-0.00023162588443840235,1.3033241758358622,1.3019878241641378,48.44817165592051,14.468095160388671,1.3029713333333333,1.3031133333333333
16,2022-04-11 01:20:00,1.30284,1.30297,1.30274,1.30296,329,GBPUSD,0,20,1,15,4,2022,11,-0.0002139015502139952,1.303266598729254,1.302016401270746,49.89759168088998,14.384812869877504,1.3029516666666665,1.3031085000000002
17,2022-04-11 01:25:00,1.30295,1.30313,1.30279,1.30281,218,GBPUSD,0,25,1,15,4,2022,11,-0.00019507556392070496,1.3031764766079326,1.3020605233920672,48.38963451083487,14.159462149358781,1.302917,1.3031001666666666
18,2022-04-11 01:30:00,1.30281,1.30281,1.30191,1.302,576,GBPUSD,0,30,1,15,4,2022,11,-0.00018902443301629403,1.3031198496041017,1.3020001503958982,41.40038123356421,14.475098591146615,1.3028663333333335,1.303075
19,2022-04-11 01:35:00,1.30198,1.30208,1.30151,1.30179,595,GBPUSD,0,35,1,15,4,2022,11,-0.00019421714669245048,1.3031281528317342,1.3018758471682659,39.856427308370826,14.969975039835926,1.3027966666666666,1.303044
20,2022-04-11 01:40:00,1.30181,1.30206,1.3018,1.30199,348,GBPUSD,0,40,1,15,4,2022,11,-0.00020255153033647328,1.3030848708184004,1.3018241291815997,41.987913101032994,15.448355606902261,1.3027423333333334,1.3030210000000002
21,2022-04-11 01:45:00,1.30198,1.30227,1.30191,1.30221,405,GBPUSD,0,45,1,15,4,2022,11,-0.00020844652226997427,1.303079242973538,1.3018007570264625,44.23674641752016,15.740538455310633,1.3026973333333334,1.3030016666666666
22,2022-04-11 01:50:00,1.3022,1.30235,1.30203,1.30207,361,GBPUSD,0,50,1,15,4,2022,11,-0.00021426205196499416,1.3030448190535797,1.30176518094642,43.13595061997356,15.9607616345152,1.302646,1.3029801666666667
23,2022-04-11 01:55:00,1.30207,1.30253,1.30193,1.30235,576,GBPUSD,0,55,1,15,4,2022,11,-0.00021476733356767772,1.3030123157625366,1.3017626842374634,45.92022306633866,16.039535019027145,1.302608,1.3029685
24,2022-04-11 02:00:00,1.30235,1.30252,1.30164,1.30175,632,GBPUSD,0,0,2,15,4,2022,11,-0.00022100091822259112,1.303038829501798,1.3016671704982021,41.42405037593016,16.249229838627254,1.3025486666666666,1.3029468333333334
25,2022-04-11 02:05:00,1.30175,1.30175,1.30123,1.30123,471,GBPUSD,0,5,2,15,4,2022,11,-0.0002382907079466621,1.3031443588915128,1.3014456411084876,38.08114316900119,16.620818794745087,1.302476,1.3029221666666666
26,2022-04-11 02:10:00,1.30123,1.30176,1.30116,1.30165,413,GBPUSD,0,10,2,15,4,2022,11,-0.00025435998604085325,1.303159462711343,1.3013655372886568,41.99248037790519,17.006816735843273,1.302422666666667,1.3029016666666666
27,2022-04-11 02:15:00,1.30165,1.30168,1.30106,1.3012,375,GBPUSD,0,15,2,15,4,2022,11,-0.00027542164229937626,1.303213046357553,1.301190953642447,39.24477210392694,17.41743689032583,1.3023536666666664,1.3028758333333335
28,2022-04-11 02:20:00,1.30118,1.3013,1.30108,1.30108,252,GBPUSD,0,20,2,15,4,2022,11,-0.00029979512592865753,1.3032501865018473,1.3010138134981528,38.548941477713726,17.814369706325635,1.302284,1.3028501666666668
29,2022-04-11 02:25:00,1.30107,1.30128,1.30098,1.30123,335,GBPUSD,0,25,2,15,4,2022,11,-0.00032189024437868295,1.3032263906889008,1.3008996093110992,39.926276372293316,18.23697443247397,1.3022266666666666,1.3028313333333332
30,2022-04-11 02:30:00,1.30122,1.30125,1.30104,1.30114,315,GBPUSD,0,30,2,15,4,2022,11,-0.00034210130951125076,1.3032191449440527,1.3007788550559471,39.37844953755481,18.64549233441736,1.3021666666666667,1.302803
31,2022-04-11 02:35:00,1.30116,1.30154,1.30116,1.30154,245,GBPUSD,0,35,2,15,4,2022,11,-0.00035291050462699363,1.3032109810449442,1.3007370189550558,42.97581311572257,18.82561589467235,1.3021346666666667,1.3027799999999998
32,2022-04-11 02:40:00,1.30154,1.3016,1.30133,1.30145,298,GBPUSD,0,40,2,15,4,2022,11,-0.0003578916969007495,1.3031785474889284,1.3006834525110715,42.39030940082301,18.956384501535613,1.302090666666667,1.302755
33,2022-04-11 02:45:00,1.30145,1.30147,1.30115,1.30121,245,GBPUSD,0,45,2,15,4,2022,11,-0.00036197223982816065,1.3030923939866188,1.3006226060133814,40.854840376675504,19.164540020616627,1.302041,1.3027261666666667
34,2022-04-11 02:50:00,1.30119,1.30124,1.30085,1.30085,426,GBPUSD,0,50,2,15,4,2022,11,-0.00037019294618027105,1.3030174242899724,1.3005155757100277,38.68072022734535,19.495142230421276,1.301988,1.3026941666666665
