,time,open,high,low,close,vol,weekday,symbol,minute,hour,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2024-04-15 00:00:00,1.24594,1.24611,1.24559,1.24564,574,0,GBPUSD,0,0,16,4,2024,15,0.00024637008143318684,1.2463715168040432,1.245319483195957,53.10680822352882,25.271084435086,1.245552,1.2450413333333334
1,2024-04-15 00:05:00,1.24561,1.24606,1.24561,1.24594,187,0,GBPUSD,5,0,16,4,2024,15,0.00023786473954916313,1.2463806174256378,1.245329382574362,55.80366538358276,25.202885435580992,1.2456286666666665,1.245066
2,2024-04-15 00:10:00,1.24594,1.24601,1.24571,1.24586,219,0,GBPUSD,10,0,16,4,2024,15,0.00022829731004429045,1.2463723454478575,1.2453266545521422,54.9321664361555,25.136959736059485,1.2456723333333335,1.2450911666666669
3,2024-04-15 00:15:00,1.24584,1.24584,1.24527,1.24527,281,0,GBPUSD,15,0,16,4,2024,15,0.00020863228389636447,1.2463589666728327,1.2452470333271672,49.083883935531574,24.681939673312765,1.2456963333333335,1.2451013333333336
4,2024-04-15 00:20:00,1.24526,1.24549,1.24503,1.24548,252,0,GBPUSD,20,0,16,4,2024,15,0.00018654406513454136,1.2462986468320032,1.2452313531679968,51.004533162228874,24.053059820480108,1.2457246666666666,1.245116333333333
5,2024-04-15 00:25:00,1.24547,1.24577,1.24547,1.24573,170,0,GBPUSD,25,0,16,4,2024,15,0.00016765836944407443,1.2462583079144853,1.2452356920855145,53.1795965130586,23.62863373557966,1.2457536666666666,1.2451341666666667
6,2024-04-15 00:30:00,1.24576,1.24577,1.24547,1.2455,192,0,GBPUSD,30,0,16,4,2024,15,0.00014771832953954853,1.246240556455003,1.245210443544997,51.02383748539462,23.218355186842555,1.245754,1.2451459999999999
7,2024-04-15 00:35:00,1.24548,1.2456,1.24537,1.24548,176,0,GBPUSD,35,0,16,4,2024,15,0.00012750696867633467,1.246225101198909,1.2451848988010907,50.838453198658726,22.730028077377746,1.245753,1.2451619999999999
8,2024-04-15 00:40:00,1.24546,1.24572,1.24545,1.24563,121,0,GBPUSD,40,0,16,4,2024,15,0.00011028761024627483,1.2462236166268752,1.245200383373125,52.186288354587916,22.3483122353162,1.2457616666666667,1.245176
9,2024-04-15 00:45:00,1.24563,1.24563,1.24535,1.24535,140,0,GBPUSD,45,0,16,4,2024,15,9.112764395928001e-05,1.2462325963102363,1.245178403689764,49.5623526812532,21.88772210049616,1.2457646666666666,1.245185
