,time,open,high,low,close,vol,symbol,weekday,minute,hour,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2022-06-27 00:00:00,1.2282,1.22886,1.22794,1.22804,917,GBPUSD,0,0,0,26,6,2022,27,0.000430415315799297,1.2296077027759071,1.2276532972240928,51.46911122040462,17.87001712990636,1.2281106666666666,1.2275623333333334
1,2022-06-27 00:05:00,1.228,1.22866,1.22797,1.22839,618,GBPUSD,0,5,0,26,6,2022,27,0.00039408532288547673,1.2295284686500574,1.227811531349943,53.806042819988406,17.911484974179672,1.2281693333333332,1.2275966666666667
2,2022-06-27 00:10:00,1.2284,1.22847,1.22804,1.22809,476,GBPUSD,0,10,0,26,6,2022,27,0.000353861356303347,1.2295085989173609,1.2278484010826392,51.60272639868748,17.951570556977206,1.2282203333333332,1.2276243333333334
3,2022-06-27 00:15:00,1.22808,1.22825,1.22789,1.22809,524,GBPUSD,0,15,0,26,6,2022,27,0.0003124988076500873,1.229479342757151,1.2278996572428493,51.60272639868748,17.898504203700696,1.2282723333333334,1.2276421666666666
4,2022-06-27 00:20:00,1.22809,1.22877,1.22806,1.22866,464,GBPUSD,0,20,0,26,6,2022,27,0.0002809726800607595,1.2294813319670364,1.2279216680329639,55.322644605506994,18.053077934252844,1.2283403333333331,1.2276625
5,2022-06-27 00:25:00,1.22865,1.2288,1.22824,1.2283,298,GBPUSD,0,25,0,26,6,2022,27,0.0002508804990174564,1.2294866317022155,1.2279023682977845,52.67727304412086,18.21348475815264,1.2283943333333336,1.2276735
6,2022-06-27 00:30:00,1.22829,1.22829,1.2279,1.22818,348,GBPUSD,0,30,0,26,6,2022,27,0.00022077823242461938,1.2294963323606232,1.227846667639377,51.822784016713065,18.167189530895474,1.2284296666666665,1.2276891666666667
7,2022-06-27 00:35:00,1.22817,1.22822,1.22754,1.2276,348,GBPUSD,0,35,0,26,6,2022,27,0.00018249089545703835,1.2295591270238213,1.2276608729761787,47.934968437786196,17.924390699799996,1.2284306666666667,1.2276966666666667
8,2022-06-27 00:40:00,1.2276,1.228,1.22723,1.22739,541,GBPUSD,0,40,0,26,6,2022,27,0.00013731403940512552,1.229593676277564,1.227458323722436,46.62483133168194,17.53489217313815,1.228419,1.2276976666666666
9,2022-06-27 00:45:00,1.22744,1.2275,1.22659,1.2266,786,GBPUSD,0,45,0,26,6,2022,27,7.72702566332059e-05,1.229703682192903,1.2270793178070971,42.142390909232034,17.022347174202036,1.2283849999999998,1.2276880000000001
10,2022-06-27 00:50:00,1.2266,1.22724,1.22658,1.22685,1105,GBPUSD,0,50,0,26,6,2022,27,1.4868255967549007e-05,1.2297268774845622,1.2268381225154381,43.90776272535008,16.53093637730436,1.2283586666666664,1.227678
11,2022-06-27 00:55:00,1.22687,1.2275,1.22684,1.22699,503,GBPUSD,0,55,0,26,6,2022,27,-4.354088352760805e-05,1.2297366253823316,1.2266573746176688,44.88203460476051,16.011662778427883,1.2283383333333333,1.2276513333333334
12,2022-06-27 01:00:00,1.22699,1.22774,1.22699,1.22774,669,GBPUSD,0,0,1,26,6,2022,27,-8.432042093994381e-05,1.2296885412459033,1.2266144587540964,49.7216912398437,15.604287841442716,1.2283323333333334,1.2276449999999999
13,2022-06-27 01:05:00,1.22774,1.22824,1.22771,1.22804,715,GBPUSD,0,5,1,26,6,2022,27,-0.00010693382649093664,1.2295386390950471,1.2266433609049525,51.48442140206803,15.396884869677042,1.2283380000000002,1.2276458333333333
14,2022-06-27 01:10:00,1.22808,1.22825,1.22775,1.22803,594,GBPUSD,0,10,1,26,6,2022,27,-0.0001168914407802883,1.229421511823763,1.226661488176237,51.42225463370771,15.200059220675113,1.2283250000000001,1.2276503333333335
15,2022-06-27 01:15:00,1.22799,1.22869,1.22799,1.22819,685,GBPUSD,0,15,1,26,6,2022,27,-0.00011557552990411624,1.2292996055278191,1.226698394472181,52.37410535184712,15.163664459628306,1.2283166666666667,1.227657
16,2022-06-27 01:20:00,1.22819,1.22846,1.22784,1.228,645,GBPUSD,0,20,1,26,6,2022,27,-0.00011003049310140076,1.2291495885700645,1.2267434114299351,51.14305717803557,15.062874072883472,1.228295333333333,1.2276634999999998
17,2022-06-27 01:25:00,1.22799,1.22812,1.22773,1.22794,373,GBPUSD,0,25,1,26,6,2022,27,-0.00010283188529822426,1.2290148903307458,1.2267821096692537,50.75334497293416,14.917551728466282,1.2282656666666667,1.2276735
18,2022-06-27 01:30:00,1.22794,1.22837,1.22786,1.22837,418,GBPUSD,0,30,1,26,6,2022,27,-8.787944061545942e-05,1.2289697167964404,1.2268002832035598,53.386689782679504,14.863670617193417,1.2282423333333334,1.2276895
19,2022-06-27 01:35:00,1.22836,1.2287,1.22798,1.22806,586,GBPUSD,0,35,1,26,6,2022,27,-7.35964469758096e-05,1.2289548041412206,1.2268001958587793,51.339314061698914,14.921638975103575,1.2282013333333335,1.2277013333333333
20,2022-06-27 01:40:00,1.22808,1.22815,1.2276,1.22777,403,GBPUSD,0,40,1,26,6,2022,27,-6.494082984574743e-05,1.2289394954804562,1.2267885045195435,49.502149033858984,14.809383558296197,1.2281593333333334,1.2277083333333334
21,2022-06-27 01:45:00,1.22777,1.22811,1.22749,1.2275,763,GBPUSD,0,45,1,26,6,2022,27,-6.44257640645465e-05,1.2288768546942912,1.226762145305709,47.85286639249503,14.65389032765958,1.2281193333333331,1.2277136666666666
22,2022-06-27 01:50:00,1.22748,1.22805,1.22729,1.22793,932,GBPUSD,0,50,1,26,6,2022,27,-6.203280055075331e-05,1.2288626402340534,1.2267603597659467,50.56631718152945,14.420894224333638,1.2280953333333333,1.2277263333333333
23,2022-06-27 01:55:00,1.22793,1.22817,1.22766,1.22773,912,GBPUSD,0,55,1,26,6,2022,27,-6.163774811118665e-05,1.2288368604625466,1.2267501395374534,49.331228238568514,14.238328720751122,1.2280446666666667,1.2277514999999999
24,2022-06-27 02:00:00,1.22772,1.22798,1.22756,1.22793,440,GBPUSD,0,0,2,26,6,2022,27,-5.918428884177315e-05,1.2287207667342088,1.2267932332657911,50.57994345538323,14.018295900265704,1.2280083333333331,1.2277799999999999
25,2022-06-27 02:05:00,1.22793,1.22799,1.22733,1.22741,787,GBPUSD,0,5,2,26,6,2022,27,-6.373067776865813e-05,1.228652597980377,1.226772402019623,47.435640384058885,13.707986417361957,1.227954,1.2278121666666666
26,2022-06-27 02:10:00,1.2274,1.2276,1.22736,1.22747,460,GBPUSD,0,10,2,26,6,2022,27,-7.13235866520275e-05,1.2285961552197404,1.2267578447802594,47.82280702913969,13.408020583888334,1.2279013333333333,1.2278415
27,2022-06-27 02:15:00,1.22748,1.2281,1.2274,1.22797,388,GBPUSD,0,15,2,26,6,2022,27,-7.228819353440634e-05,1.2286229861338587,1.226768013866141,50.93805977271307,13.305561167739635,1.2278703333333334,1.2278751666666665
28,2022-06-27 02:20:00,1.22797,1.22806,1.22766,1.22769,541,GBPUSD,0,20,2,26,6,2022,27,-7.335021989917555e-05,1.2286268192974146,1.2267941807025853,49.23512162272036,13.206517065462561,1.2278386666666665,1.2279063333333333
29,2022-06-27 02:25:00,1.22771,1.22791,1.22729,1.22744,922,GBPUSD,0,25,2,26,6,2022,27,-7.823905773149437e-05,1.228519308150074,1.2269856918499256,47.76033537866543,12.944250053458628,1.227813,1.2279333333333333
30,2022-06-27 02:30:00,1.22745,1.22852,1.22745,1.22815,1199,GBPUSD,0,30,2,26,6,2022,27,-7.3764227930018e-05,1.2284747630668258,1.2271602369331742,51.98571850974403,12.915066062176322,1.2278166666666666,1.227963666666667
31,2022-06-27 02:35:00,1.22813,1.22902,1.22799,1.22868,735,GBPUSD,0,35,2,26,6,2022,27,-5.5031046580316355e-05,1.2285457259976544,1.2272582740023452,54.80841427855597,13.050610345036684,1.2278263333333335,1.2279978333333335
32,2022-06-27 02:40:00,1.22866,1.22872,1.22831,1.22842,416,GBPUSD,0,40,2,26,6,2022,27,-3.2365752293225666e-05,1.2286145867683342,1.227257413231666,53.220619751048666,13.181636485135032,1.2278373333333334,1.2280288333333333
33,2022-06-27 02:45:00,1.22844,1.2286,1.22809,1.22809,474,GBPUSD,0,45,2,26,6,2022,27,-1.3615227142398263e-05,1.228619065555874,1.2272579344441261,51.270425663703755,13.20902470529846,1.2278373333333332,1.2280548333333334
34,2022-06-27 02:50:00,1.2281,1.22822,1.2278,1.2278,381,GBPUSD,0,50,2,26,6,2022,27,-2.8970857266620455e-06,1.2286088272678704,1.2272451727321296,49.617548698601375,13.10605091503615,1.2278086666666668,1.2280745000000002
35,2022-06-27 02:55:00,1.2278,1.22784,1.22693,1.22705,478,GBPUSD,0,55,2,26,6,2022,27,-9.734558428285849e-06,1.2286436720385396,1.2270963279614604,45.67782685460996,12.676836761476565,1.2277669999999998,1.2280806666666668
36,2022-06-27 03:00:00,1.22706,1.22744,1.22691,1.22734,469,GBPUSD,0,0,3,26,6,2022,27,-2.2568150677980812e-05,1.2286429541596342,1.2270310458403655,47.3500275340098,12.269294943674398,1.2277390000000001,1.2280843333333336
37,2022-06-27 03:05:00,1.22734,1.22751,1.22719,1.22721,435,GBPUSD,0,5,3,26,6,2022,27,-4.05098730776291e-05,1.2286516657653286,1.2269493342346716,46.683613194657006,11.87245098388949,1.227726,1.2280783333333334
38,2022-06-27 03:10:00,1.22721,1.22739,1.22705,1.22716,360,GBPUSD,0,10,3,26,6,2022,27,-6.14181283615321e-05,1.2285927355375004,1.2268872644624997,46.42364915221167,11.52106982734615,1.2277183333333332,1.2280686666666667
