,time,open,high,low,close,vol,weekday,symbol,minute,hour,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2023-02-06 00:00:00,1.20428,1.20494,1.20411,1.20492,717,0,GBPUSD,0,0,6,2,2023,6,-9.91960553284132e-05,1.2053801778473405,1.203389822152659,47.506129879135365,23.429378299500005,1.204373,1.204909
1,2023-02-06 00:05:00,1.20493,1.20501,1.20385,1.204,696,0,GBPUSD,5,0,6,2,2023,6,-9.744265430205609e-05,1.2053787363828665,1.2033952636171337,42.84870178400141,23.13269039646955,1.2043356666666667,1.2048774999999998
2,2023-02-06 00:10:00,1.204,1.20433,1.20369,1.20379,828,0,GBPUSD,10,0,6,2,2023,6,-0.0001044900103627423,1.2053779570983274,1.2033970429016725,41.8791978279771,22.897208891905997,1.2042936666666668,1.2048418333333333
3,2023-02-06 00:15:00,1.20379,1.20394,1.20359,1.2037,870,0,GBPUSD,15,0,6,2,2023,6,-0.00011788181998279433,1.2053976449179677,1.2033313550820324,41.46326624483105,22.701549874828007,1.204248,1.2048050000000001
4,2023-02-06 00:20:00,1.2037,1.20375,1.20354,1.2036,298,0,GBPUSD,20,0,6,2,2023,6,-0.0001358749544747828,1.2054216515840932,1.2032493484159068,40.995274608194606,22.528840377401952,1.2041983333333333,1.2047733333333333
5,2023-02-06 00:25:00,1.2036,1.20372,1.20351,1.20366,504,0,GBPUSD,25,0,6,2,2023,6,-0.00015454192894847994,1.205434934056961,1.203182065943039,41.40576592087289,22.372191087947073,1.2041433333333333,1.2047411666666668
6,2023-02-06 00:30:00,1.20367,1.2038,1.20354,1.20367,290,0,GBPUSD,30,0,6,2,2023,6,-0.00017214092314445786,1.2054466921554703,1.2031323078445297,41.47596371324208,22.175673576032768,1.2041603333333333,1.2047086666666666
7,2023-02-06 00:35:00,1.20365,1.20372,1.20314,1.20325,450,0,GBPUSD,35,0,6,2,2023,6,-0.00019445647035236103,1.2054925580023887,1.2030014419976114,39.42385569935675,22.14052052975505,1.2041596666666667,1.204668
8,2023-02-06 00:40:00,1.20324,1.2033,1.20312,1.2033,327,0,GBPUSD,40,0,6,2,2023,6,-0.0002173175173258413,1.2055210609767124,1.2029339390232876,39.79072477096353,22.114099421951643,1.2041586666666668,1.2046308333333333
9,2023-02-06 00:45:00,1.20329,1.20352,1.20317,1.2032,615,0,GBPUSD,45,0,6,2,2023,6,-0.00024042219014046398,1.205532932861991,1.202798067138009,39.29830380909137,21.955902480528266,1.204127,1.2045875
