tranactions_id,currency_pair,direction,open_step       ,open_price      ,maxDD     ,close_step      ,close_price     ,pips    ,close_reason,duration  
         1,EURUSD  ,s       ,             584,    1.11259,    0.00,             804,    1.11704,-44.50,SL    ,       220
         2,EURUSD  ,s       ,             593,    1.11284,    0.00,             804,    1.11729,-44.51,SL    ,       211
         4,EURUSD  ,s       ,             686,    1.11321,    0.00,             804,    1.11767,-44.53,SL    ,       118
         6,EURUSD  ,s       ,             789,    1.11259,    0.00,             804,    1.11704,-44.50,SL    ,        15
         5,EURUSD  ,b       ,             688,    1.11359,    0.00,             886,    1.10913,-44.54,SL    ,       198
         8,EURUSD  ,b       ,             861,    1.11259,    0.00,             893,    1.10814,-44.50,SL    ,        32
         3,EURUSD  ,b       ,             669,    1.11235,    0.00,             894,    1.10790,-44.49,SL    ,       225
         7,EURUSD  ,s       ,             822,    1.11272,    0.00,             981,    1.11717,-44.51,SL    ,       159
        13,EURUSD  ,b       ,             994,    1.11819,    0.00,            1027,    1.11372,-44.73,SL    ,        33
        14,EURUSD  ,b       ,            1001,    1.11769,    0.00,            1029,    1.11322,-44.71,SL    ,        28
        17,EURUSD  ,s       ,            1047,    1.11259,    0.00,            1097,    1.11704,-44.50,SL    ,        50
        11,EURUSD  ,s       ,             956,    1.11383,    0.00,            1250,    1.11829,-44.55,SL    ,       294
